communication_state,crc_valid,exception,failure_stage,function,request_number,response_time_complete_ms,response_time_first_byte_ms,retry_attempts,retry_recovered,rx_hex,sample_sequence,status_flags,storage_state,timestamp,tx_hex
not mapped,True,,,3,11,43.989,39.6,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff593fffff593f942f,16705,196608,0,1784916822.9661257,0103000000204412
not mapped,True,,,3,12,44.1363,39.5976,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff58feffff58fe682f,16706,196608,0,1784916823.082647,0103000000204412
not mapped,True,,,3,13,44.1455,39.5852,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b97ffff5b97f4cb,16708,196608,0,1784916823.1969619,0103000000204412
not mapped,True,,,3,14,44.149,40.1747,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c97ffff5c97f74c,16709,196608,0,1784916823.3115659,0103000000204412
not mapped,True,,,3,15,44.5801,40.0126,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ba4ffff5ba4b0da,16710,196608,0,1784916823.427263,0103000000204412
not mapped,True,,,3,16,44.0023,39.6958,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5da9ffff5da95f18,16711,196608,0,1784916823.5418482,0103000000204412
not mapped,True,,,3,17,43.9928,40.0055,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5e73ffff5e738793,16712,196608,0,1784916823.655984,0103000000204412
not mapped,True,,,3,18,43.9065,39.5,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ffdffff5ffd6fa9,16713,196608,0,1784916823.769056,0103000000204412
not mapped,True,,,3,19,44.6471,40.5938,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5e3effff5e3e6ba8,16715,196608,0,1784916823.8830972,0103000000204412
not mapped,True,,,3,20,44.5617,40.597,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a40ffff5a40c0c6,16716,196608,0,1784916823.9982207,0103000000204412
not mapped,True,,,3,21,44.5696,40.2722,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff59d2ffff59d2f875,16717,196608,0,1784916824.1128924,0103000000204412
not mapped,True,,,3,22,44.154,39.6065,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5e2fffff5e2f57a7,16718,196608,0,1784916824.2265954,0103000000204412
not mapped,True,,,3,23,44.5644,40.011,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d5effff5d5eeb4b,16719,196608,0,1784916824.3391185,0103000000204412
not mapped,True,,,3,24,44.5663,39.633,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5cf4ffff5cf4736d,16720,196608,0,1784916824.4541583,0103000000204412
not mapped,True,,,3,25,44.5523,40.0232,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5bdcffff5bdc10f2,16721,196608,0,1784916824.5697205,0103000000204412
not mapped,True,,,3,26,44.106,40.1293,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5990ffff5990004b,16723,196608,0,1784916824.6844451,0103000000204412
not mapped,True,,,3,27,44.0571,40.0701,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b65ffff5b654c9b,16724,196608,0,1784916824.7996378,0103000000204412
not mapped,True,,,3,28,44.1359,40.0172,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ab0ffff5ab08097,16725,196608,0,1784916824.9137282,0103000000204412
not mapped,True,,,3,29,44.1722,39.6059,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff58d6ffff58d60837,16726,196608,0,1784916825.0277796,0103000000204412
not mapped,True,,,3,30,44.134,39.5817,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5769ffff57695953,16727,196608,0,1784916825.143527,0103000000204412
not mapped,True,,,3,31,44.1026,39.5597,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5814ffff5814f077,16728,196608,0,1784916825.2566502,0103000000204412
not mapped,True,,,3,32,44.5918,40.0189,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ae2ffff5ae2b8a6,16730,196608,0,1784916825.371175,0103000000204412
not mapped,True,,,3,33,44.1498,40.1779,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5bfeffff5bfe68ec,16731,196608,0,1784916825.4857032,0103000000204412
not mapped,True,,,3,34,43.9951,39.6868,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5912ffff5912f834,16732,196608,0,1784916825.6012366,0103000000204412
not mapped,True,,,3,35,44.4306,40.0499,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b44ffff5b443084,16733,196608,0,1784916825.7173653,0103000000204412
not mapped,True,,,3,36,43.8718,39.4779,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c91ffff5c91ff4e,16734,196608,0,1784916825.8299363,0103000000204412
not mapped,True,,,3,37,44.1291,39.5869,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b99ffff5b991cce,16735,196608,0,1784916825.9434578,0103000000204412
not mapped,True,,,3,38,45.0364,40.5958,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ab6ffff5ab68895,16737,196608,0,1784916826.058052,0103000000204412
not mapped,True,,,3,39,44.5604,40.1722,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a6bffff5a6ba4df,16738,196608,0,1784916826.1736207,0103000000204412
not mapped,True,,,3,40,44.1313,39.6106,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff59e9ffff59e95c63,16739,196608,0,1784916826.2887013,0103000000204412
not mapped,True,,,3,41,44.2091,39.5906,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ba8ffff5ba8a0de,16740,196608,0,1784916826.4033756,0103000000204412
not mapped,True,,,3,42,43.9687,40.0134,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b72ffff5b727896,16741,196608,0,1784916826.5180304,0103000000204412
not mapped,True,,,3,43,44.0674,39.5819,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c18ffff5c18e337,16743,196608,0,1784916826.6339638,0103000000204412
not mapped,True,,,3,44,44.5556,40.0141,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b4cffff5b4cd083,16744,196608,0,1784916826.7460065,0103000000204412
not mapped,True,,,3,45,44.4171,40.0238,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff59c6ffff59c6c879,16745,196608,0,1784916826.861267,0103000000204412
not mapped,True,,,3,46,44.14,39.5957,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c28ffff5c28a327,16746,196608,0,1784916826.9767926,0103000000204412
not mapped,True,,,3,47,44.127,39.5774,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5efeffff5efe6be9,16747,196608,0,1784916827.0898483,0103000000204412
not mapped,True,,,3,48,43.9869,39.6183,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d2effff5d2eab64,16748,196608,0,1784916827.2040944,0103000000204412
not mapped,True,,,3,49,43.9652,39.77,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5cefffff5cef5764,16749,196608,0,1784916827.3188004,0103000000204412
not mapped,True,,,3,50,44.4123,39.8679,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d72ffff5d727b50,16751,196608,0,1784916827.4339035,0103000000204412
not mapped,True,,,3,51,44.9011,40.4948,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5de0ffff5de04320,16752,196608,0,1784916827.5489237,0103000000204412
not mapped,True,,,3,52,44.3967,40.0528,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d1effff5d1eeb74,16753,196608,0,1784916827.6640189,0103000000204412
not mapped,True,,,3,53,43.9778,39.5965,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d3affff5d3a9b68,16754,196608,0,1784916827.7761075,0103000000204412
not mapped,True,,,3,54,44.1172,39.5797,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ad0ffff5ad000b7,16755,196608,0,1784916827.8896372,0103000000204412
not mapped,True,,,3,55,43.9784,39.6311,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b94ffff5b94f0ca,16756,196608,0,1784916828.0040853,0103000000204412
not mapped,True,,,3,56,44.5634,39.6266,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d0dffff5d0d2f7a,16758,196608,0,1784916828.1161551,0103000000204412
not mapped,True,,,3,57,44.3861,40.0006,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c7effff5c7e6b15,16759,196608,0,1784916828.2297735,0103000000204412
not mapped,True,,,3,58,44.4337,39.8664,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b54ffff5b54f08b,16760,196608,0,1784916828.3458679,0103000000204412
not mapped,True,,,3,59,44.1449,39.6226,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5e79ffff5e799f95,16761,196608,0,1784916828.460392,0103000000204412
not mapped,True,,,3,60,44.5628,40.1773,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d6affff5d6a5b58,16762,196608,0,1784916828.575243,0103000000204412
not mapped,True,,,3,61,43.9588,39.4163,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5bc3ffff5bc3c4f8,16763,196608,0,1784916828.6900647,0103000000204412
not mapped,True,,,3,62,44.1373,39.5872,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a69ffff5a695cde,16765,196608,0,1784916828.804331,0103000000204412
not mapped,True,,,3,63,44.1311,40.1672,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff582bffff582ba462,16766,196608,0,1784916828.9164,0103000000204412
not mapped,True,,,3,64,44.1569,40.1846,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff572bffff572ba16d,16767,196608,0,1784916829.0295465,0103000000204412
not mapped,True,,,3,65,44.5595,39.6156,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff588cffff588cd001,16768,196608,0,1784916829.1448646,0103000000204412
not mapped,True,,,3,66,43.9761,39.6203,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff588dffff588d2c01,16769,196608,0,1784916829.260015,0103000000204412
not mapped,True,,,3,67,44.1402,39.5953,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff585cffff585c104f,16770,196608,0,1784916829.3764615,0103000000204412
not mapped,True,,,3,68,43.9724,39.6055,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff597affff597a9813,16772,196608,0,1784916829.490911,0103000000204412
not mapped,True,,,3,69,44.1344,40.1813,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff59f3ffff59f3846a,16773,196608,0,1784916829.6045086,0103000000204412
not mapped,True,,,3,70,44.5581,40.0165,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff57abffff57aba113,16774,196608,0,1784916829.7202039,0103000000204412
not mapped,True,,,3,71,44.099,39.5493,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5875ffff58758c57,16775,196608,0,1784916829.8358114,0103000000204412
not mapped,True,,,3,72,44.0137,39.5916,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5697ffff5697f146,16776,196608,0,1784916829.949019,0103000000204412
not mapped,True,,,3,73,44.5739,40.1707,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5712ffff5712fd7a,16777,196608,0,1784916830.0615876,0103000000204412
not mapped,True,,,3,74,44.0817,39.557,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff57ddffff57dde93e,16779,196608,0,1784916830.1756346,0103000000204412
not mapped,True,,,3,75,44.4275,39.8745,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff563fffff563f9120,16780,196608,0,1784916830.2898233,0103000000204412
not mapped,True,,,3,76,44.1304,40.1676,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5437ffff543771a5,16781,196608,0,1784916830.403345,0103000000204412
not mapped,True,,,3,77,43.9723,39.6091,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5768ffff5768a553,16782,196608,0,1784916830.5159187,0103000000204412
not mapped,True,,,3,78,43.9714,39.5936,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff56e8ffff56e8a56c,16783,196608,0,1784916830.6300867,0103000000204412
not mapped,True,,,3,79,43.9756,39.6614,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5706ffff5706cd76,16784,196608,0,1784916830.7441502,0103000000204412
not mapped,True,,,3,80,44.5693,40.0095,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5aaeffff5aaea89d,16786,196608,0,1784916830.8582382,0103000000204412
not mapped,True,,,3,81,44.4742,40.0702,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5cc2ffff5cc23b7f,16787,196608,0,1784916830.97381,0103000000204412
not mapped,True,,,3,82,44.5812,40.1733,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5cc1ffff5cc13f7e,16788,196608,0,1784916831.0866623,0103000000204412
not mapped,True,,,3,83,44.5474,39.6445,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a2dffff5a2dace2,16789,196608,0,1784916831.2039175,0103000000204412
not mapped,True,,,3,84,43.9895,39.5963,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5989ffff5989dc43,16790,196608,0,1784916831.3174436,0103000000204412
not mapped,True,,,3,85,43.9878,39.5992,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ae7ffff5ae7b4a5,16791,196608,0,1784916831.4294877,0103000000204412
not mapped,True,,,3,86,44.523,40.5764,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a52ffff5a52f8c8,16792,196608,0,1784916831.5430954,0103000000204412
not mapped,True,,,3,87,44.568,40.0188,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a49ffff5a49dcc1,16794,196608,0,1784916831.657144,0103000000204412
not mapped,True,,,3,88,44.5647,40.0234,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a28ffff5a28a0e1,16795,196608,0,1784916831.771034,0103000000204412
not mapped,True,,,3,89,44.1417,39.5934,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff58b8ffff58b86012,16796,196608,0,1784916831.8865693,0103000000204412
not mapped,True,,,3,90,44.1577,39.6199,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5892ffff5892f80b,16797,196608,0,1784916832.0006073,0103000000204412
not mapped,True,,,3,91,44.1216,39.6321,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ac4ffff5ac430bb,16798,196608,0,1784916832.116252,0103000000204412
not mapped,True,,,3,92,43.981,39.5853,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5be0ffff5be040e6,16799,196608,0,1784916832.2294085,0103000000204412
not mapped,True,,,3,93,44.2293,40.2175,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff59b4ffff59b47057,16801,196608,0,1784916832.34343,0103000000204412
not mapped,True,,,3,94,44.5543,40.168,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ac0ffff5ac0c0b8,16802,196608,0,1784916832.458478,0103000000204412
not mapped,True,,,3,95,44.547,40.1568,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff59f1ffff59f17c6b,16803,196608,0,1784916832.5745041,0103000000204412
not mapped,True,,,3,96,44.1438,39.5762,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b91ffff5b91fcc9,16804,196608,0,1784916832.689577,0103000000204412
not mapped,True,,,3,97,44.1261,39.5896,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5deeffff5deeab25,16805,196608,0,1784916832.8033864,0103000000204412
not mapped,True,,,3,98,44.5325,39.983,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5f0fffff5f0fd7f9,16807,196608,0,1784916832.917909,0103000000204412
not mapped,True,,,3,99,44.1403,40.1801,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d3fffff5d3f976b,16808,196608,0,1784916833.0353823,0103000000204412
not mapped,True,,,3,100,44.5657,40.0315,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d58ffff5d58e349,16809,196608,0,1784916833.1500754,0103000000204412
not mapped,True,,,3,101,44.1825,39.601,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5e82ffff5e823bc2,16810,196608,0,1784916833.2642176,0103000000204412
not mapped,True,,,3,102,43.9918,39.6309,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c4dffff5c4d2f04,16811,196608,0,1784916833.379901,0103000000204412
not mapped,True,,,3,103,44.134,39.5901,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b1fffff5b1f14b2,16812,196608,0,1784916833.4941876,0103000000204412
not mapped,True,,,3,104,44.3917,40.013,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c14ffff5c14f333,16814,196608,0,1784916833.6078234,0103000000204412
not mapped,True,,,3,105,45.1443,40.6035,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d32ffff5d327b6f,16815,196608,0,1784916833.7223659,0103000000204412
not mapped,True,,,3,106,44.9822,40.5772,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d75ffff5d758f52,16816,196608,0,1784916833.836398,0103000000204412
not mapped,True,,,3,107,44.1406,39.603,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c32ffff5c327b2e,16817,196608,0,1784916833.9503925,0103000000204412
not mapped,True,,,3,108,44.5429,40.0441,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b9cffff5b9c10cd,16818,196608,0,1784916834.065337,0103000000204412
not mapped,True,,,3,109,44.1297,39.5886,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c1fffff5c1f1735,16819,196608,0,1784916834.1794014,0103000000204412
not mapped,True,,,3,110,44.4017,40.0021,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d15ffff5d150f72,16820,196608,0,1784916834.2929301,0103000000204412
not mapped,True,,,3,111,44.1433,40.1802,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d3bffff5d3b6768,16822,196608,0,1784916834.407451,0103000000204412
not mapped,True,,,3,112,44.5126,40.0241,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c1cffff5c1c1334,16823,196608,0,1784916834.5220485,0103000000204412
not mapped,True,,,3,113,44.1317,40.166,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c49ffff5c49df07,16824,196608,0,1784916834.6355999,0103000000204412
not mapped,True,,,3,114,44.0973,39.5608,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5c12ffff5c12fb31,16825,196608,0,1784916834.748644,0103000000204412
not mapped,True,,,3,115,44.5489,40.0019,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff59f4ffff59f47068,16826,196608,0,1784916834.8627317,0103000000204412
not mapped,True,,,3,116,43.993,39.5741,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a11ffff5a11fcf6,16827,196608,0,1784916834.9771216,0103000000204412
not mapped,True,,,3,117,44.1345,39.5867,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5b68ffff5b68a09f,16829,196608,0,1784916835.0911646,0103000000204412
not mapped,True,,,3,118,44.5494,40.0743,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a22ffff5a22b8e7,16830,196608,0,1784916835.2057986,0103000000204412
not mapped,True,,,3,119,44.5597,40.0571,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff59edffff59edac60,16831,196608,0,1784916835.3189678,0103000000204412
not mapped,True,,,3,120,44.0779,39.5286,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a98ffff5a98e08f,16832,196608,0,1784916835.4334903,0103000000204412
not mapped,True,,,3,121,44.5664,40.0276,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5a7cffff5a7c90d2,16833,196608,0,1784916835.5471036,0103000000204412
not mapped,True,,,3,122,44.152,39.5963,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5977ffff59777417,16834,196608,0,1784916835.6633096,0103000000204412
not mapped,True,,,3,123,44.5991,40.1462,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff59d4ffff59d4f077,16836,196608,0,1784916835.7773569,0103000000204412
not mapped,True,,,3,124,44.0843,40.131,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff59ebffff59eba462,16837,196608,0,1784916835.8933802,0103000000204412
not mapped,True,,,3,125,44.1391,40.1745,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ac8ffff5ac820bf,16838,196608,0,1784916836.0074193,0103000000204412
not mapped,True,,,3,126,44.5621,40.0232,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5ccbffff5ccb2778,16839,196608,0,1784916836.1229444,0103000000204412
not mapped,True,,,3,127,44.5585,40.1718,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5e53ffff5e53078c,16840,196608,0,1784916836.2362626,0103000000204412
not mapped,True,,,3,128,43.9472,39.5456,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d07ffff5d07377c,16841,196608,0,1784916836.348788,0103000000204412
not mapped,True,,,3,129,43.9975,39.5887,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d87ffff5d873702,16843,196608,0,1784916836.4613032,0103000000204412
not mapped,True,,,3,130,44.5064,39.9908,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5daeffff5daeab1a,16844,196608,0,1784916836.5748742,0103000000204412
not mapped,True,,,3,131,44.1303,40.1688,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5d7fffff5d7f9754,16845,196608,0,1784916836.6884801,0103000000204412
not mapped,True,,,3,132,44.0057,39.5912,,,010340000000000003000000030000000000000000000000000000000100000100050a000000000000000000000000000000000000000000000000ffff5cd8ffff5cd8e376,16846,196608,0,1784916836.8018262,0103000000204412
